1001,2,1200
1002,3,1500
1003,2,1100
1004,1,900
1005,2,1300
1006,3,1600
1007,1,1000
1008,2,1200
1009,3,1400
1010,1,950
1011,2,1250
1012,3,1550
1013,1,950
1014,2,1300
1015,3,1600
1016,2,1200
1017,1,1000
1018,3,1500
1019,2,1100
1020,1,900
1021,2,1300
1022,3,1600
1023,1,1000
1024,2,1200
1025,3,1400
1026,1,950
1027,2,1250
1028,3,1550
1029,1,950
1030,2,1300
1031,3,1600
1032,2,1200
1033,1,1000
1034,3,1500
1035,2,1100
1036,1,900
1037,2,1300
1038,3,1600
1039,2,1100
1040,3,1250
1041,2,1350
1042,1,1050
1043,3,1400
1044,2,1150
1045,1,1450
1046,3,1200
1047,2,1300
1048,1,1100
1049,3,1350
